index,lat,lon,市,區,里,鄰,路,街,段,巷,弄,號,Build case
台北市中山區一江街39號,25.054194,121.531608,台北市,中山區,中吉里,,,一江街,,,,39號,
台北市中山區中原街112號,25.061111,121.528839,台北市,中山區,新生里,,,中原街,,,,112號,
台北市中山區中央里伊通街123號,25.053932,121.534934,台北市,中山區,中央里,,,伊通街,,,,123號,
台北市中山區中山北路2段16巷2之1號,25.05303,121.52197,台北市,中山區,民安里,,中山北路,,2段,16巷,,2號,
台北市中山區中山北路2段173號,25.063024,121.522785,台北市,中山區,恆安里,,中山北路,,2段,,,173號,
台北市中山區中山北路2段175號,25.063105,121.522761,台北市,中山區,恆安里,,中山北路,,2段,,,175號,
台北市中山區中山北路2段179號,25.06319,121.52272,台北市,中山區,恆安里,,中山北路,,2段,,,179號,
台北市中山區中山北路一段101號,25.0509,121.52229,台北市,中山區,正得里,,中山北路,,1段,,,101號,
台北市中山區中山北路一段121巷33號,25.0509,121.52464,台北市,中山區,正得里,,中山北路,,1段,121巷,,33號,
台北市中山區中山北路一段33巷,25.04888,121.52155,台北市,中山區,正得里,,中山北路,,1段,33巷,,,
台北市中山區中山北路一段33巷9號,25.048883,121.521974,台北市,中山區,正得里,,中山北路,,一段,33巷,,9號,
台北市中山區中山北路一段53巷8號,25.04917,121.522043,台北市,中山區,正得里,,中山北路,,一段,53巷,,8號,
台北市中山區中山北路一段83巷32號,25.0498,121.52452,台北市,中山區,正得里,,中山北路,,1段,83巷,,32號,
台北市中山區中山北路一段83巷36號,25.04971,121.52426,台北市,中山區,正得里,,中山北路,,1段,83巷,,36號,
台北市中山區中山北路三段2號,25.06402,121.52193,台北市,中山區,集英里,,中山北路,,3段,,,2號,
台北市中山區中山北路三段53號,25.06775,121.52287,台北市,中山區,圓山里,,中山北路,,3段,,,53號,
台北市中山區中山北路二段118之1號,25.0611,121.52271,台北市,中山區,集英里,,中山北路,,2段,,,118號,
台北市中山區中山北路二段118號,25.06106,121.5227,台北市,中山區,集英里,,中山北路,,2段,,,118號,
台北市中山區中山北路二段120號,25.06131,121.52264,台北市,中山區,集英里,,中山北路,,2段,,,120號,
台北市中山區中山北路二段122號,25.06128,121.52268,台北市,中山區,集英里,,中山北路,,2段,,,122號,
台北市中山區中山北路二段123號,25.06124,121.52312,台北市,中山區,聚葉里,,中山北路,,2段,,,123號,
台北市中山區中山北路二段128巷30號,25.06175,121.52158,台北市,中山區,集英里,,中山北路,,2段,128巷,,30號,
台北市中山區中山北路二段128巷9號,25.06189,121.52158,台北市,中山區,集英里,,中山北路,,2段,128巷,,9號,
台北市中山區中山北路二段168之3號,25.06337,121.52208,台北市,中山區,集英里,,中山北路,,二段,,,168之3號,
台北市中山區中山北路二段168之5號,25.063429,121.522065,台北市,中山區,集英里,,中山北路,,二段,,,168之5號,
台北市中山區中山北路二段16巷2之1號,25.053031,121.52197,台北市,中山區,民安里,,中山北路,,2段,16巷,,2號,
台北市中山區中山北路二段173號,25.06302,121.52278,台北市,中山區,恆安里,,中山北路,,2段,,,173號,
台北市中山區中山北路二段175號,25.0631,121.52276,台北市,中山區,恆安里,,中山北路,,2段,,,175號,
台北市中山區中山北路二段177號,25.06316,121.52276,台北市,中山區,恆安里,,中山北路,,2段,,,177號,
台北市中山區中山北路二段179號,25.06319,121.52272,台北市,中山區,恆安里,,中山北路,,2段,,,179號,
台北市中山區中山北路二段183巷,25.06391,121.52296,台北市,中山區,恆安里,,中山北路,,2段,183巷,,,
台北市中山區中山北路二段27巷6號,25.053089,121.523703,台北市,中山區,康樂里,,中山北路,,2段,27巷,,6號,
台北市中山區中山北路二段42巷,25.05458,121.52199,台北市,中山區,民安里,,中山北路,,2段,42巷,,,
台北市中山區中山北路二段42巷18號,25.05469,121.52173,台北市,中山區,民安里,,中山北路,,2段,42巷,,18號,
台北市中山區中山北路二段59巷7號,25.05599,121.52349,台北市,中山區,中山里,,中山北路,,2段,59巷,,7號,
台北市中山區中山北路二段62巷3號,25.0568,121.52229,台北市,中山區,民安里,,中山北路,,2段,62巷,,3號,
台北市中山區中山北路二段62巷7號,25.056771,121.522107,台北市,中山區,民安里,,中山北路,,二段,62巷,,7號,
台北市中山區中山北路二段62巷8號,25.05665,121.52207,台北市,中山區,民安里,,中山北路,,2段,62巷,,8號,
台北市中山區中山北路二段62巷9號,25.05679,121.52201,台北市,中山區,民安里,,中山北路,,2段,62巷,,9號,
台北市中山區中山北路二段72巷17號,25.05714,121.52163,台北市,中山區,民安里,,中山北路,,2段,72巷,,17號,
台北市中山區中山北路二段72巷19號,25.05714,121.52146,台北市,中山區,民安里,,中山北路,,2段,72巷,,19號,
台北市中山區中山北路二段77巷17號,25.05755,121.52364,台北市,中山區,中山里,,中山北路,,2段,77巷,,17號,
台北市中山區中山北路二段77巷6之1號,25.05749,121.52349,台北市,中山區,中山里,,中山北路,,2段,77巷,,6號,
台北市中山區中山北路二段77巷6之3號,25.05748,121.52337,台北市,中山區,中山里,,中山北路,,2段,77巷,,6號,
台北市中山區中山北路二段77巷6之5號,25.05745,121.52355,台北市,中山區,中山里,,中山北路,,2段,77巷,,6號,
台北市中山區中山北路二段93巷,25.05948,121.52329,台北市,中山區,聚盛里,,中山北路,,2段,93巷,,,
台北市中山區中山北路二段93巷22號,25.05928,121.52429,台北市,中山區,聚盛里,,中山北路,,2段,93巷,,22號,
台北市中山區中山北路二段與中山北路二段93巷交叉口,25.062766,121.522625,台北市,中山區,集英里,,中山北路,,2段,93巷,,,
台北市中山區中山區中庄里民生東路二段127巷7.9號,25.06463,121.53344,台北市,中山區,中庄里,,民生東路,,2段,127巷,,7號,
台北市中山區中山區雙城街25巷13號,25.06463,121.53344,台北市,中山區,行政里,,,雙城街,,25巷,,13號,
台北市中山區中庄里民生東路二段127巷7.9號,25.05913,121.5322,台北市,中山區,中庄里,,民生東路,,2段,127巷,,7號,
台北市中山區五常街11巷3號,25.0646,121.53786,台北市,中山區,行孝里,,,五常街,,11巷,,3號,
台北市中山區五常街11巷5號,25.06466,121.53784,台北市,中山區,行孝里,,,五常街,,11巷,,5號,
台北市中山區五常街11巷7號,25.06475,121.53782,台北市,中山區,行孝里,,,五常街,,11巷,,7號,
台北市中山區五常街11巷9號,25.0648,121.5378,台北市,中山區,行孝里,,,五常街,,11巷,,9號,
台北市中山區五常街31號,25.06436,121.53843,台北市,中山區,行仁里,,,五常街,,,,31號,
台北市中山區伊通街129號,25.054393,121.534936,台北市,中山區,中央里,,,伊通街,,,,129號,
台北市中山區伊通街1號,25.048,121.5348,台北市,中山區,朱園里,,,伊通街,,,,1號,
台北市中山區伊通街21號,25.04906,121.53488,台北市,中山區,朱園里,,,伊通街,,,,21號,
台北市中山區伊通街2號,25.04802,121.53459,台北市,中山區,朱園里,,,伊通街,,,,2號,
台北市中山區伊通街52巷1號,25.051489,121.534437,台北市,中山區,朱園里,,,伊通街,,52巷,,1號,
台北市中山區伊通街99巷11號,25.053333,121.535367,台北市,中山區,中央里,,,伊通街,,99巷,,11號,
台北市中山區伊通街99巷9號,25.05333,121.53521,台北市,中山區,中央里,,,伊通街,,99巷,,9號,
台北市中山區八德路二段100號,25.04578,121.53609,台北市,中山區,埤頭里,,八德路,,二段,,,100號,
台北市中山區八德路二段137巷20號,25.047163,121.537285,台北市,中山區,朱崙里,,八德路,,2段,137巷,,20號,
台北市中山區八德路二段174巷16號,25.04562,121.53817,台北市,中山區,埤頭里,,八德路,,2段,174巷,,16號,
台北市中山區八德路二段174巷18號,25.04556,121.53814,台北市,中山區,埤頭里,,八德路,,2段,174巷,,18號,
台北市中山區八德路二段300巷58號,25.04567,121.54255,台北市,中山區,埤頭里,,八德路,,2段,300巷,,58號,
台北市中山區八德路二段313號,25.04742,121.54273,台北市,中山區,朱崙里,,八德路,,2段,,,313號,
台北市中山區八德路二段317號,25.04748,121.54285,台北市,中山區,朱崙里,,八德路,,2段,,,317號,
台北市中山區八德路二段319號,25.04747,121.54293,台北市,中山區,朱崙里,,八德路,,2段,,,319號,
台北市中山區八德路二段88巷15號,25.04512,121.53604,台北市,中山區,埤頭里,,八德路,,二段,88巷,,15號,
台北市中山區力行里建國北路一段73號,25.05131,121.53711,台北市,中山區,力行里,,建國北路,,1段,,,73號,
台北市中山區北安路458巷47弄3號,25.07822,121.54477,台北市,中山區,永安里,,北安路,,,458巷,47弄,3號,
台北市中山區北安路458巷47弄5號,25.07846,121.5449,台北市,中山區,永安里,,北安路,,,458巷,47弄,5號,
台北市中山區北安路578巷8弄26號,25.08069,121.5497,台北市,中山區,永安里,,北安路,,,578巷,8弄,26號,
台北市中山區北安路578巷8弄28號,25.08069,121.54975,台北市,中山區,永安里,,北安路,,,578巷,8弄,28號,
台北市中山區北安路578巷8號,25.0809,121.54889,台北市,中山區,永安里,,北安路,,,578巷,,8號,
台北市中山區北安路588巷30弄23號,25.08047,121.55012,台北市,中山區,永安里,,北安路,,,588巷,30弄,23號,
台北市中山區北安路608巷10號,25.08188,121.55003,台北市,中山區,成功里,,北安路,,,608巷,,10號,
台北市中山區北安路608巷12號,25.08188,121.55012,台北市,中山區,成功里,,北安路,,,608巷,,12號,
台北市中山區北安路630巷16號,25.08255,121.55001,台北市,中山區,成功里,,北安路,,,630巷,,16號,
台北市中山區北安路630巷18號,25.08253,121.55014,台北市,中山區,成功里,,北安路,,,630巷,,18號,
台北市中山區北安路666號,25.08384,121.54941,台北市,中山區,成功里,,北安路,,,,,666號,
台北市中山區北安路669號,25.08505,121.54936,台北市,中山區,大直里,,北安路,,,,,669號,
台北市中山區北安路805巷4弄6號,25.085976,121.554709,台北市,中山區,北安里,,北安路,,,805巷,4弄,6號,
台北市中山區北安路805巷4弄8號,25.08598,121.55466,台北市,中山區,北安里,,北安路,,,805巷,4弄,8號,
台北市中山區北安路829號,25.08477,121.55693,台北市,中山區,北安里,,北安路,,,,,829號,
台北市中山區南京東路1段132巷18號,25.05096,121.52692,台北市,中山區,正義里,,南京東路,,1段,132巷,,18號,
台北市中山區南京東路3段48巷38號,25.05067,121.53828,台北市,中山區,力行里,,南京東路,,3段,48巷,,38號,
台北市中山區南京東路一段132巷18號,25.05096,121.52692,台北市,中山區,正義里,,南京東路,,1段,132巷,,18號,
台北市中山區南京東路一段132巷30號,25.050095,121.526663,台北市,中山區,正義里,,南京東路,,1段,132巷,,30號,
台北市中山區南京東路一段31巷2號,25.05267,121.52439,台北市,中山區,康樂里,,南京東路,,一段,31巷,,2號,
台北市中山區南京東路一段38號,25.05192,121.52427,台北市,中山區,正得里,,南京東路,,1段,,,38號,
台北市中山區南京東路三段12號,25.051807,121.537391,台北市,中山區,力行里,,南京東路,,3段,,,12號,
台北市中山區南京東路三段14巷8號,25.0513,121.53739,台北市,中山區,力行里,,南京東路,,3段,14巷,,8號,
台北市中山區南京東路三段194巷,25.05149,121.5428,台北市,中山區,力行里,,南京東路,,3段,194巷,,,
台北市中山區南京東路三段48巷36號,25.0508,121.53828,台北市,中山區,力行里,,南京東路,,3段,48巷,,36號,
台北市中山區南京東路三段48巷38號,25.05067,121.53828,台北市,中山區,力行里,,南京東路,,3段,48巷,,38號,
台北市中山區南京東路三段89巷15弄10號,25.0533,121.53876,台北市,中山區,復華里,,南京東路,,3段,89巷,15弄,10號,
台北市中山區南京東路三段89巷15弄6號,25.05324,121.53882,台北市,中山區,復華里,,南京東路,,三段,89巷,15弄,6號,
台北市中山區南京東路三段89巷27弄10號,25.05372,121.53822,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,10號,
台北市中山區南京東路三段89巷27弄11號,25.05404,121.5383,台北市,中山區,復華里,,南京東路,,三段,89巷,27弄,11號,
台北市中山區南京東路三段89巷27弄15號,25.05422,121.53831,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,15號,
台北市中山區南京東路三段89巷27弄1號,25.05382,121.53809,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,1號,
台北市中山區南京東路三段89巷27弄3號,25.05387,121.53818,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,3號,
台北市中山區南京東路三段89巷27弄5號,25.0539,121.53791,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,5號,
台北市中山區南京東路三段89巷27弄6號,25.05368,121.53814,台北市,中山區,復華里,,南京東路,,三段,89巷,27弄,6號,
台北市中山區南京東路三段89巷27弄7號,25.0539,121.53776,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,7號,
台北市中山區南京東路三段89巷27弄8號,25.0537,121.53818,台北市,中山區,復華里,,南京東路,,三段,89巷,27弄,8號,
台北市中山區南京東路三段89巷27弄9號,25.05404,121.5381,台北市,中山區,復華里,,南京東路,,3段,89巷,27弄,9號,
台北市中山區南京東路二段186號,25.05185,121.53525,台北市,中山區,朱園里,,南京東路,,2段,,,186號,
台北市中山區南京東路二段188號,25.05182,121.53526,台北市,中山區,朱園里,,南京東路,,2段,,,188號,
台北市中山區南京東路二段190號,25.05182,121.5353,台北市,中山區,朱園里,,南京東路,,2段,,,190號,
台北市中山區南京東路二段192號,25.05181,121.53549,台北市,中山區,朱園里,,南京東路,,2段,,,192號,
台北市中山區南京東路二段198號,25.05184,121.53559,台北市,中山區,朱園里,,南京東路,,2段,,,198號,
台北市中山區南京東路二段23號,25.0523,121.52883,台北市,中山區,中原里,,南京東路,,2段,,,23號,
台北市中山區南京東路二段41巷3弄10號,25.05292,121.52962,台北市,中山區,中原里,,南京東路,,2段,41巷,3弄,10號,
台北市中山區南京東路二段5號,25.05231,121.52818,台北市,中山區,中原里,,南京東路,,2段,,,5號,
台北市中山區南京東路二段75號,25.052279,121.530941,台北市,中山區,中吉里,,南京東路,,二段,,,75號,
台北市中山區台北市中山區長安東路一段30巷3弄15號,25.06463266,121.5334376,台北市,中山區,行政里,,長安東路,,1段,30巷,3弄,15號,
台北市中山區合江街102巷16號,25.05872,121.53881,台北市,中山區,江山里,,,合江街,,102巷,,16號,
台北市中山區合江街102巷26號,25.05873,121.53865,台北市,中山區,江山里,,,合江街,,102巷,,26號,
台北市中山區合江街102巷36號,25.05871,121.5384,台北市,中山區,江山里,,,合江街,,102巷,,36號,
台北市中山區合江街105號,25.05982,121.53926,台北市,中山區,江山里,,,合江街,,,,105號,
台北市中山區合江街135號,25.06104,121.53928,台北市,中山區,江寧里,,,合江街,,,,135號,
台北市中山區合江街29號,25.05536,121.53916,台北市,中山區,朱馥里,,,合江街,,,,29號,
台北市中山區合江街37號,25.05563,121.53915,台北市,中山區,朱馥里,,,合江街,,,,37號,
台北市中山區合江街55巷19號,25.05696,121.53989,台北市,中山區,朱馥里,,,合江街,,55巷,,19號,
台北市中山區吉林路108巷6號,25.053344,121.529411,台北市,中山區,中原里,,吉林路,,,108巷,,6號,
台北市中山區吉林路10號,25.05004,121.5299,台北市,中山區,興亞里,,吉林路,,,,,10號,
台北市中山區吉林路12之5號,25.0504,121.52991,台北市,中山區,興亞里,,吉林路,,,,,12號,
台北市中山區吉林路12之6號,25.05045,121.52991,台北市,中山區,興亞里,,吉林路,,,,,12號,
台北市中山區吉林路12之7號,25.05039,121.52994,台北市,中山區,興亞里,,吉林路,,,,,12號,
台北市中山區吉林路12之8號,25.05042,121.52994,台北市,中山區,興亞里,,吉林路,,,,,12號,
台北市中山區吉林路136號,25.05542,121.53003,台北市,中山區,中原里,,吉林路,,,,,136號,
台北市中山區吉林路138號,25.05563,121.53004,台北市,中山區,中原里,,吉林路,,,,,138號,
台北市中山區吉林路14巷11號,25.05064,121.52911,台北市,中山區,興亞里,,吉林路,,,14巷,,11號,
台北市中山區吉林路1號,25.04875,121.53018,台北市,中山區,興亞里,,吉林路,,,,,1號,
台北市中山區吉林路218巷19號,25.05905,121.529408,台北市,中山區,中庄里,,吉林路,,,218巷,,19號,
台北市中山區吉林路258號,25.0602,121.53011,台北市,中山區,中庄里,,吉林路,,,,,258號,
台北市中山區吉林路2號,25.04869,121.52991,台北市,中山區,興亞里,,吉林路,,,,,2號,
台北市中山區吉林路3號,25.04872,121.53011,台北市,中山區,興亞里,,吉林路,,,,,3號,
台北市中山區吉林路5號,25.04891,121.53028,台北市,中山區,興亞里,,吉林路,,,,,5號,
台北市中山區吉林路63號,25.05384,121.53035,台北市,中山區,中吉里,,吉林路,,,,,63號,
台北市中山區吉林路65號,25.05392,121.53035,台北市,中山區,中吉里,,吉林路,,,,,65號,
台北市中山區吉林路6號,25.049152,121.529889,台北市,中山區,興亞里,,吉林路,,,,,6號,
台北市中山區吉林路8號,25.04914,121.52986,台北市,中山區,興亞里,,吉林路,,,,,8號,
台北市中山區吉林路91號,25.05572,121.53028,台北市,中山區,中吉里,,吉林路,,,,,91號,
台北市中山區吉林路93號,25.05572,121.53038,台北市,中山區,中吉里,,吉林路,,,,,93號,
台北市中山區吉林里松江路204巷,25.0574,121.53237,台北市,中山區,吉林里,,松江路,,,204巷,,,
台北市中山區四平街107號,25.05374,121.53579,台北市,中山區,中央里,,,四平街,,,,107號,
台北市中山區四平街56號,25.0536,121.53345,台北市,中山區,中央里,,,四平街,,,,56號,
台北市中山區埤頭里八德路二段146巷1弄6號,25.0457,121.53731,台北市,中山區,埤頭里,,八德路,,2段,146巷,1弄,6號,
台北市中山區基湖路112巷10號,25.078786,121.563055,台北市,中山區,金泰里,,基湖路,,,112巷,,10號,
台北市中山區基湖路112巷51號,25.07936,121.56252,台北市,中山區,金泰里,,基湖路,,,112巷,,51號,
台北市中山區基湖路112巷53號,25.07936,121.56245,台北市,中山區,金泰里,,基湖路,,,112巷,,53號,
台北市中山區基湖路112巷55號,25.07966,121.5625,台北市,中山區,金泰里,,基湖路,,,112巷,,55號,
台北市中山區基湖路112巷56號,25.07905,121.56283,台北市,中山區,金泰里,,基湖路,,,112巷,,56號,
台北市中山區基湖路112巷57號,25.079369,121.562248,台北市,中山區,金泰里,,基湖路,,,112巷,,57號,
台北市中山區基湖路112巷58號,25.07912,121.56268,台北市,中山區,金泰里,,基湖路,,,112巷,,58號,
台北市中山區基湖路112巷59號,25.07937,121.56215,台北市,中山區,金泰里,,基湖路,,,112巷,,59號,
台北市中山區基湖路112巷60號,25.07917,121.56238,台北市,中山區,金泰里,,基湖路,,,112巷,,60號,
台北市中山區基湖路112巷8號,25.07869,121.56319,台北市,中山區,金泰里,,基湖路,,,112巷,,8號,
台北市中山區基湖路116號,25.0783,121.56364,台北市,中山區,金泰里,,基湖路,,,,,116號,
台北市中山區基湖路120巷11號,25.078809,121.562528,台北市,中山區,金泰里,,基湖路,,,120巷,,11號,
台北市中山區基湖路120巷1號,25.07817,121.56334,台北市,中山區,金泰里,,基湖路,,,120巷,,1號,
台北市中山區基湖路120巷30弄1號,25.07843,121.56258,台北市,中山區,金泰里,,基湖路,,,120巷,30弄,1號,
台北市中山區基湖路120巷33號,25.07872,121.56223,台北市,中山區,金泰里,,基湖路,,,120巷,,33號,
台北市中山區基湖路120巷3號,25.078249,121.563272,台北市,中山區,金泰里,,基湖路,,,120巷,,3號,
台北市中山區基湖路120巷5號,25.07832,121.56317,台北市,中山區,金泰里,,基湖路,,,120巷,,5號,
台北市中山區基湖路120巷7號,25.078371,121.563088,台北市,中山區,金泰里,,基湖路,,,120巷,,7號,
台北市中山區基湖路120巷9號,25.07869,121.56269,台北市,中山區,金泰里,,基湖路,,,120巷,,9號,
台北市中山區基湖路135號,25.07848,121.56417,台北市,中山區,金泰里,,基湖路,,,,,135號,
台北市中山區基湖路137號,25.07838,121.56407,台北市,中山區,金泰里,,基湖路,,,,,137號,
台北市中山區基湖路145巷18號,25.07794,121.56425,台北市,中山區,金泰里,,基湖路,,,145巷,,18號,
台北市中山區基湖路145巷31號,25.07785,121.56484,台北市,中山區,金泰里,,基湖路,,,145巷,,31號,
台北市中山區基湖路151巷21號,25.07765,121.56422,台北市,中山區,金泰里,,基湖路,,,151巷,,21號,
台北市中山區基湖路151巷38號,25.07736,121.56466,台北市,中山區,金泰里,,基湖路,,,151巷,,38號,
台北市中山區基湖路157巷1號,25.076789,121.563406,台北市,中山區,金泰里,,基湖路,,,157巷,,1號,
台北市中山區基湖路157巷2號,25.07715,121.56339,台北市,中山區,金泰里,,基湖路,,,157巷,,2號,
台北市中山區基湖路157巷3號,25.076789,121.563627,台北市,中山區,金泰里,,基湖路,,,157巷,,3號,
台北市中山區基湖路157巷5號,25.07678,121.56403,台北市,中山區,金泰里,,基湖路,,,157巷,,5號,
台北市中山區堤頂大道二段242號,25.07779,121.5665,台北市,中山區,金泰里,,堤頂大道,,2段,,,242號,
台北市中山區堤頂大道二段246巷1號,25.07767,121.5663,台北市,中山區,金泰里,,堤頂大道,,2段,246巷,,1號,
台北市中山區堤頂大道二段246巷8號,25.07774,121.56608,台北市,中山區,金泰里,,堤頂大道,,2段,246巷,,8號,
台北市中山區堤頂大道二段246巷9號,25.07752,121.56698,台北市,中山區,金泰里,,堤頂大道,,2段,246巷,,9號,
台北市中山區堤頂大道二段262號,25.07773,121.56541,台北市,中山區,金泰里,,堤頂大道,,2段,,,262號,
台北市中山區堤頂大道二段266號,25.07786,121.56544,台北市,中山區,金泰里,,堤頂大道,,2段,,,266號,
台北市中山區堤頂大道二段268號,25.0779,121.56532,台北市,中山區,金泰里,,堤頂大道,,2段,,,268號,
台北市中山區堤頂大道二段270號,25.07781,121.56517,台北市,中山區,金泰里,,堤頂大道,,2段,,,270號,
台北市中山區堤頂大道二段272號,25.07784,121.56505,台北市,中山區,金泰里,,堤頂大道,,2段,,,272號,
台北市中山區堤頂大道二段288號,25.07828,121.56482,台北市,中山區,金泰里,,堤頂大道,,2段,,,288號,
台北市中山區堤頂大道二段350號,25.0794,121.56327,台北市,中山區,金泰里,,堤頂大道,,2段,,,350號,
台北市中山區堤頂大道二段352號,25.07944,121.56325,台北市,中山區,金泰里,,堤頂大道,,2段,,,352號,
台北市中山區堤頂大道二段368號,25.07988,121.56291,台北市,中山區,金泰里,,堤頂大道,,2段,,,368號,
台北市中山區堤頂大道二段378號,25.08008,121.5627,台北市,中山區,金泰里,,堤頂大道,,2段,,,378號,
台北市中山區大直街84巷,25.084399,121.547076,台北市,中山區,大直里,,,大直街,,84巷,,,
台北市中山區大直街84巷1號,25.084399,121.547076,台北市,中山區,大直里,,,大直街,,84巷,,1號,
台北市中山區大直街94巷及94巷3弄轉角處,25.0847,121.547627,台北市,中山區,大直里,,,大直街,,94巷,3弄,,
台北市中山區天津街,25.05014,121.52299,台北市,中山區,正得里,,,天津街,,,,,
台北市中山區天祥路16巷11號,25.06128,121.52052,台北市,中山區,集英里,,天祥路,,,16巷,,11號,
台北市中山區天祥路16號,25.06094,121.52094,台北市,中山區,集英里,,天祥路,,,,,16號,
台北市中山區天祥路61巷10號,25.06336,121.52128,台北市,中山區,集英里,,天祥路,,,61巷,,10號,
台北市中山區天祥路61巷6號,25.06335,121.52116,台北市,中山區,集英里,,天祥路,,,61巷,,6號,
台北市中山區天祥路61巷8號,25.06336,121.52124,台北市,中山區,集英里,,天祥路,,,61巷,,8號,
台北市中山區天祥路80號,25.063984,121.520568,台北市,中山區,集英里,,天祥路,,,,,80號,
台北市中山區天祥路82號,25.064058,121.520542,台北市,中山區,集英里,,天祥路,,,,,82號,
台北市中山區市民大道3段169號,25.04479,121.54077,台北市,中山區,埤頭里,,市民大道,,3段,,,169號,
台北市中山區市民大道三段167號,25.04496,121.54047,台北市,中山區,埤頭里,,市民大道,,三段,,,167號,
台北市中山區市民大道三段169號,25.04479,121.54077,台北市,中山區,埤頭里,,市民大道,,3段,,,169號,
台北市中山區市民大道三段5號,25.046162,121.531253,台北市,中山區,正守里,,市民大道,,3段,,,5號,
台北市中山區建國北路1段41號,25.04817,121.53708,台北市,中山區,朱崙里,,建國北路,,1段,,,41號,
台北市中山區建國北路2段222號,25.060939,121.536567,台北市,中山區,松江里,,建國北路,,2段,,,222號,
台北市中山區建國北路一段150號,25.05139,121.53637,台北市,中山區,朱園里,,建國北路,,1段,,,150號,
台北市中山區建國北路一段41號,25.04817,121.53708,台北市,中山區,朱崙里,,建國北路,,1段,,,41號,
台北市中山區建國北路一段50巷25號,25.04795,121.53519,台北市,中山區,朱園里,,建國北路,,一段,50巷,,25號,
台北市中山區建國北路一段50巷27號,25.04795,121.53515,台北市,中山區,朱園里,,建國北路,,1段,50巷,,27號,
台北市中山區建國北路一段52號,25.04804,121.53631,台北市,中山區,朱園里,,建國北路,,1段,,,52號,
台北市中山區建國北路一段5號,25.0464,121.53704,台北市,中山區,朱崙里,,建國北路,,一段,,,5號,
台北市中山區建國北路一段63號,25.05081,121.53717,台北市,中山區,力行里,,建國北路,,一段,,,63號,
台北市中山區建國北路一段65號,25.05084,121.53718,台北市,中山區,力行里,,建國北路,,1段,,,65號,
台北市中山區建國北路一段78巷28號,25.04927,121.53532,台北市,中山區,朱園里,,建國北路,,1段,78巷,,28號,
台北市中山區建國北路三段71號,25.06508,121.53722,台北市,中山區,行孝里,,建國北路,,3段,,,71號,
台北市中山區建國北路二段176號,25.05928,121.53633,台北市,中山區,松江里,,建國北路,,2段,,,176號,
台北市中山區建國北路二段178號,25.05929,121.53647,台北市,中山區,松江里,,建國北路,,2段,,,178號,
台北市中山區建國北路二段180號,25.05945,121.53647,台北市,中山區,松江里,,建國北路,,2段,,,180號,
台北市中山區建國北路二段182號,25.05945,121.53634,台北市,中山區,松江里,,建國北路,,2段,,,182號,
台北市中山區建國北路二段220號,25.06087,121.5365,台北市,中山區,松江里,,建國北路,,2段,,,220號,
台北市中山區建國北路二段222號,25.06094,121.53657,台北市,中山區,松江里,,建國北路,,2段,,,222號,
台北市中山區建國北路二段70號,25.05449,121.53646,台北市,中山區,中央里,,建國北路,,2段,,,70號,
台北市中山區復興北路448號,25.06416,121.54404,台北市,中山區,下埤里,,復興北路,,,,,448號,
台北市中山區復興北路472號,25.06471,121.5441,台北市,中山區,下埤里,,復興北路,,,,,472號,
台北市中山區復興南路一段52號,25.04511,121.54364,台北市,中山區,埤頭里,,復興南路,,1段,,,52號,
台北市中山區德惠街,25.06666,121.52814,台北市,中山區,新庄里,,,德惠街,,,,,
台北市中山區德惠街18號,25.06662,121.5249,台北市,中山區,晴光里,,,德惠街,,,,18號,
台北市中山區德惠街3巷1號,25.067034,121.52311,台北市,中山區,圓山里,,,德惠街,,3巷,,1號,
台北市中山區德惠街65號,25.066737,121.528063,台北市,中山區,新庄里,,,德惠街,,,,65號,
台北市中山區德惠街73號,25.06674,121.52832,台北市,中山區,新庄里,,,德惠街,,,,73號,
台北市中山區撫順街15號,25.06383,121.52124,台北市,中山區,集英里,,,撫順街,,,,15號,
台北市中山區撫順街23號,25.063652,121.520417,台北市,中山區,集英里,,,撫順街,,,,23號,
台北市中山區敬業三路161巷59號,25.07938,121.55457,台北市,中山區,成功里,,敬業三路,,,161巷,,59號,
台北市中山區敬業三路177巷1號,25.07894,121.55561,台北市,中山區,成功里,,敬業三路,,,177巷,,1號,
台北市中山區新生北路101巷21號,25.04583,121.53293,台北市,中山區,朱園里,,新生北路,,,101巷,,21號,
台北市中山區新生北路2段68巷9號,25.05653,121.52678,台北市,中山區,中山里,,新生北路,,2段,68巷,,9號,
台北市中山區新生北路三段12號,25.06334,121.5274,台北市,中山區,恆安里,,新生北路,,3段,,,12號,
台北市中山區新生北路三段16號,25.06345,121.527383,台北市,中山區,恆安里,,新生北路,,3段,,,16號,
台北市中山區新生北路三段56巷19號,25.06543,121.52683,台北市,中山區,晴光里,,新生北路,,3段,56巷,,19號,
台北市中山區新生北路三段56巷21號,25.06543,121.52669,台北市,中山區,晴光里,,新生北路,,3段,56巷,,21號,
台北市中山區新生北路三段62巷17號,25.06585,121.52694,台北市,中山區,晴光里,,新生北路,,3段,62巷,,17號,
台北市中山區新生北路三段85號,25.06725,121.5281,台北市,中山區,新庄里,,新生北路,,3段,,,85號,
